stateTime,Network QA Power,Network RB Power,Baseline Power
"2020-10-15",0.56,0.56,2.77
"2020-10-16",0.57,0.57,2.77
"2020-10-17",0.58,0.58,2.78
"2020-10-18",0.58,0.58,2.78
"2020-10-19",0.59,0.59,2.79
"2020-10-20",0.6,0.6,2.79
"2020-10-21",0.6,0.6,2.8
"2020-10-22",0.61,0.61,2.8
"2020-10-23",0.61,0.61,2.81
"2020-10-24",0.62,0.62,2.81
"2020-10-25",0.63,0.63,2.82
"2020-10-26",0.64,0.64,2.82
"2020-10-27",0.65,0.65,2.83
"2020-10-28",0.66,0.66,2.84
"2020-10-29",0.68,0.68,2.84
"2020-10-30",0.69,0.69,2.85
"2020-10-31",0.7,0.7,2.85
"2020-11-01",0.71,0.71,2.86
"2020-11-02",0.73,0.73,2.86
"2020-11-03",0.74,0.74,2.87
"2020-11-04",0.75,0.75,2.87
"2020-11-05",0.77,0.77,2.88
"2020-11-06",0.78,0.78,2.88
"2020-11-07",0.79,0.79,2.89
"2020-11-08",0.8,0.8,2.9
"2020-11-09",0.82,0.82,2.9
"2020-11-10",0.84,0.84,2.91
"2020-11-11",0.85,0.85,2.91
"2020-11-12",0.87,0.87,2.92
"2020-11-13",0.89,0.89,2.92
"2020-11-14",0.9,0.9,2.93
"2020-11-15",0.92,0.92,2.93
"2020-11-16",0.93,0.93,2.94
"2020-11-17",0.95,0.95,2.95
"2020-11-18",0.97,0.97,2.95
"2020-11-19",0.98,0.98,2.96
"2020-11-20",1,1,2.96
"2020-11-21",1.01,1.01,2.97
"2020-11-22",1.03,1.03,2.97
"2020-11-23",1.05,1.05,2.98
"2020-11-24",1.06,1.06,2.98
"2020-11-25",1.07,1.07,2.99
"2020-11-26",1.09,1.09,3
"2020-11-27",1.1,1.1,3
"2020-11-28",1.11,1.11,3.01
"2020-11-29",1.14,1.14,3.01
"2020-11-30",1.15,1.15,3.02
"2020-12-01",1.17,1.17,3.02
"2020-12-02",1.18,1.18,3.03
"2020-12-03",1.2,1.2,3.04
"2020-12-04",1.22,1.22,3.04
"2020-12-05",1.23,1.23,3.05
"2020-12-06",1.25,1.25,3.05
"2020-12-07",1.27,1.27,3.06
"2020-12-08",1.29,1.29,3.06
"2020-12-09",1.3,1.3,3.07
"2020-12-10",1.32,1.32,3.08
"2020-12-11",1.34,1.34,3.08
"2020-12-12",1.34,1.34,3.09
"2020-12-13",1.37,1.37,3.09
"2020-12-14",1.39,1.39,3.1
"2020-12-15",1.4,1.4,3.11
"2020-12-16",1.42,1.42,3.11
"2020-12-17",1.43,1.43,3.12
"2020-12-18",1.45,1.45,3.12
"2020-12-19",1.12,1.12,3.13
"2020-12-20",1.39,1.39,3.14
"2020-12-21",1.49,1.49,3.14
"2020-12-22",1.51,1.51,3.15
"2020-12-23",1.53,1.53,3.15
"2020-12-24",1.54,1.54,3.16
"2020-12-25",1.55,1.55,3.17
"2020-12-26",1.58,1.58,3.17
"2020-12-27",1.59,1.59,3.18
"2020-12-28",1.61,1.61,3.18
"2020-12-29",1.62,1.62,3.19
"2020-12-30",1.64,1.64,3.2
"2020-12-31",1.66,1.66,3.2
"2021-01-01",1.67,1.67,3.21
"2021-01-02",1.69,1.69,3.21
"2021-01-03",1.71,1.71,3.22
"2021-01-04",1.72,1.72,3.23
"2021-01-05",1.74,1.74,3.23
"2021-01-06",1.75,1.75,3.24
"2021-01-07",1.77,1.77,3.24
"2021-01-08",1.79,1.79,3.25
"2021-01-09",1.81,1.81,3.26
"2021-01-10",1.82,1.82,3.26
"2021-01-11",1.84,1.84,3.27
"2021-01-12",1.86,1.86,3.28
"2021-01-13",1.87,1.87,3.28
"2021-01-14",1.89,1.89,3.29
"2021-01-15",1.91,1.91,3.29
"2021-01-16",1.92,1.92,3.3
"2021-01-17",1.94,1.94,3.31
"2021-01-18",1.97,1.97,3.31
"2021-01-19",1.98,1.98,3.32
"2021-01-20",2,2,3.33
"2021-01-21",2,2,3.33
"2021-01-22",2.03,2.03,3.34
"2021-01-23",2.05,2.05,3.34
"2021-01-24",2.07,2.07,3.35
"2021-01-25",2.09,2.09,3.36
"2021-01-26",2.11,2.11,3.36
"2021-01-27",2.14,2.14,3.37
"2021-01-28",2.16,2.16,3.38
"2021-01-29",2.18,2.18,3.38
"2021-01-30",2.2,2.2,3.39
"2021-01-31",2.22,2.22,3.4
"2021-02-01",2.24,2.24,3.4
"2021-02-02",2.27,2.27,3.41
"2021-02-03",2.29,2.29,3.42
"2021-02-04",2.31,2.31,3.42
"2021-02-05",2.33,2.33,3.43
"2021-02-06",2.35,2.35,3.43
"2021-02-07",2.37,2.37,3.44
"2021-02-08",2.4,2.4,3.45
"2021-02-09",2.42,2.42,3.45
"2021-02-10",2.44,2.44,3.46
"2021-02-11",2.46,2.46,3.47
"2021-02-12",2.48,2.48,3.47
"2021-02-13",2.51,2.51,3.48
"2021-02-14",2.54,2.54,3.49
"2021-02-15",2.56,2.56,3.49
"2021-02-16",2.57,2.57,3.5
"2021-02-17",2.6,2.6,3.51
"2021-02-18",2.63,2.62,3.51
"2021-02-19",2.64,2.64,3.52
"2021-02-20",2.66,2.66,3.53
"2021-02-21",2.69,2.69,3.53
"2021-02-22",2.71,2.71,3.54
"2021-02-23",2.72,2.72,3.55
"2021-02-24",2.76,2.76,3.55
"2021-02-25",2.78,2.78,3.56
"2021-02-26",2.81,2.81,3.57
"2021-02-27",2.83,2.83,3.57
"2021-02-28",2.86,2.86,3.58
"2021-03-01",2.88,2.88,3.59
"2021-03-02",2.9,2.9,3.6
"2021-03-03",2.92,2.92,3.6
"2021-03-04",2.94,2.94,3.61
"2021-03-05",2.98,2.98,3.62
"2021-03-06",3.01,3.01,3.62
"2021-03-07",3.04,3.04,3.63
"2021-03-08",3.07,3.07,3.64
"2021-03-09",3.09,3.09,3.64
"2021-03-10",3.13,3.13,3.65
"2021-03-11",3.15,3.15,3.66
"2021-03-12",3.19,3.19,3.66
"2021-03-13",3.22,3.22,3.67
"2021-03-14",3.25,3.25,3.68
"2021-03-15",3.28,3.28,3.68
"2021-03-16",3.31,3.31,3.69
"2021-03-17",3.34,3.34,3.7
"2021-03-18",3.37,3.37,3.71
"2021-03-19",3.4,3.4,3.71
"2021-03-20",3.43,3.43,3.72
"2021-03-21",3.47,3.47,3.73
"2021-03-22",3.5,3.5,3.73
"2021-03-23",3.52,3.52,3.74
"2021-03-24",3.55,3.55,3.75
"2021-03-25",3.58,3.58,3.76
"2021-03-26",3.6,3.6,3.76
"2021-03-27",3.64,3.64,3.77
"2021-03-28",3.68,3.68,3.78
"2021-03-29",3.71,3.71,3.78
"2021-03-30",3.75,3.74,3.79
"2021-03-31",3.78,3.78,3.8
"2021-04-01",3.8,3.8,3.81
"2021-04-02",3.85,3.84,3.81
"2021-04-03",3.87,3.87,3.82
"2021-04-04",3.9,3.9,3.83
"2021-04-05",3.94,3.94,3.83
"2021-04-06",3.97,3.97,3.84
"2021-04-07",4,4,3.85
"2021-04-08",4.04,4.04,3.86
"2021-04-09",4.07,4.07,3.86
"2021-04-10",4.1,4.1,3.87
"2021-04-11",4.14,4.14,3.88
"2021-04-12",4.16,4.16,3.89
"2021-04-13",4.18,4.18,3.89
"2021-04-14",4.23,4.23,3.9
"2021-04-15",4.27,4.27,3.91
"2021-04-16",4.3,4.29,3.92
"2021-04-17",4.33,4.33,3.92
"2021-04-18",4.37,4.37,3.93
"2021-04-19",4.4,4.4,3.94
"2021-04-20",4.44,4.44,3.95
"2021-04-21",4.47,4.47,3.95
"2021-04-22",4.5,4.5,3.96
"2021-04-23",4.54,4.54,3.97
"2021-04-24",4.58,4.58,3.98
"2021-04-25",4.62,4.61,3.98
